SSID,BSSID,MANUFACTURER,SIGNAL,High Signal,RSSI,High RSSI,AUTHENTICATION,ENCRYPTION,RADIO TYPE,CHANNEL,BTX,OTX,NETWORK TYPE,LABEL,LATITUDE,LONGITUDE,SATELLITES,HDOP,ALTITUDE,HEIGHT OF GEOID,SPEED(km/h),SPEED(MPH),TRACK ANGLE,DATE(UTC),TIME(UTC),name,network_id,signal,frequency,longitude,latitude,HIGHEST SIGNAL W/GPS,FIRST SEEN(UTC),LAST SEEN(UTC), HIGHEST SIGNAL, HIGHEST RSSI
YONGYEE WIFI,cc:29:bd:69:17:20,zte corporation,85.0,87.0,-55.0,-48.0,WPA2-Personal,CCMP,802.11n,5,"1,2,5.5,11","9,18,36,54,6,12,24,48",Infrastructure,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-03-08,07:47:40.145,YONGYEE WIFI,cc:29:bd:69:17:20,-38,2432,102.6242760581705,18.027634165544143,,,,,
Ketsana,60:53:75:5d:80:dd,"HUAWEI TECHNOLOGIES CO.,LTD",16.0,18.0,-90.0,-89.0,WPA2-Personal,CCMP,802.11ax,40,"6,9,12,18,24,36,48,54",,Infrastructure,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-03-08,07:47:40.145,Ketsana,60:53:75:5d:80:dd,-73,5200,102.62324704498312,18.028130425147907,,,,,
LDC-GUEST,7e:45:58:87:b4:ed,Unknown,33.0,33.0,-82.0,-82.0,WPA2-Personal,CCMP,802.11ac,36,"6,9,12,18,24,36,48,54",,Infrastructure,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-03-08,07:47:40.145,LDC-GUEST,7e:45:58:87:b4:ed,-73,5180,102.62425603234664,18.027624809917267,,,,,
LDC,78:45:58:87:b4:ed,Ubiquiti Inc,33.0,33.0,-82.0,-82.0,WPA2-Personal,CCMP,802.11ac,36,"6,9,12,18,24,36,48,54",,Infrastructure,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-03-08,07:47:40.145,LDC,78:45:58:87:b4:ed,-73,5180,102.62425603234664,18.027624809917267,,,,,
ETL-Wifi,30:37:b3:bb:a2:a4,"HUAWEI TECHNOLOGIES CO.,LTD",40.0,40.0,-79.0,-79.0,WPA2-Personal,CCMP,802.11n,9,"1,2,5.5,6,9,11,12,18,24,36,48,54",,Infrastructure,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-03-08,07:47:40.145,ETL-Wifi,30:37:b3:bb:a2:a4,-74,2452,102.62427653660362,18.027633878336285,,,,,
DP Group,9c:65:ee:3e:19:37,DZS Inc.,75.0,83.0,-67.0,-59.0,WPA2-Personal,CCMP,802.11n,1,"1,2,5.5,11","9,18,36,54,6,12,24,48",Infrastructure,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-03-08,07:47:40.145,DP Group,9c:65:ee:3e:19:37,-70,2412,102.6242773989924,18.02761818905376,,,,,
Khonevilay,ec:c0:1b:98:c2:9c,"HUAWEI TECHNOLOGIES CO.,LTD",20.0,26.0,-88.0,-85.0,WPA2-Personal,CCMP,802.11n,8,"1,2,5.5,6,9,11,12,18,24,36,48,54",,Infrastructure,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-03-08,07:47:43.170,Khonevilay,ec:c0:1b:98:c2:9c,-76,2447,102.62427583365944,18.027633823322205,,,,,
LDC-GUEST,7e:45:58:87:b4:ee,Unknown,40.0,43.0,-79.0,-78.0,WPA2-Personal,CCMP,802.11n,6,"1,2,5.5,11","6,9,12,18,24,36,48,54",Infrastructure,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-03-08,07:48:01.274,LDC-GUEST,7e:45:58:87:b4:ee,-68,2437,102.62425603234664,18.027624809917267,,,,,
LDC,78:45:58:87:b4:ee,Ubiquiti Inc,35.0,43.0,-81.0,-78.0,WPA2-Personal,CCMP,802.11n,6,"1,2,5.5,11","6,9,12,18,24,36,48,54",Infrastructure,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-03-08,07:48:01.274,LDC,78:45:58:87:b4:ee,-61,2437,102.62425603234664,18.027624809917267,,,,,
Ketsana,60:53:75:5d:80:d8,"HUAWEI TECHNOLOGIES CO.,LTD",18.0,18.0,-89.0,-89.0,WPA2-Personal,CCMP,802.11ac,4,"1,2,5.5,6,9,11,12,18,24,36,48,54",,Infrastructure,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-03-08,07:48:01.274,Ketsana,60:53:75:5d:80:d8,-52,2427,102.62423155029836,18.02760256653549,,,,,
D-Link_DAP-1360,58:d5:6e:83:6e:af,D-Link International,53.0,53.0,-75.0,-75.0,WPA2-Personal,CCMP,802.11n,11,"1,2,5.5,11","6,9,12,18,24,36,48,54",Infrastructure,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-03-08,07:49:03.764,D-Link_DAP-1360,58:d5:6e:83:6e:af,-76,2462,102.62427583365944,18.027633823322205,,,,,
LDC-GUEST,2a:5a:4c:ac:5f:2c,Unknown,13.0,13.0,-92.0,-92.0,WPA2-Personal,CCMP,802.11n,1,"1,2,5.5,11","6,9,12,18,24,36,48,54",Infrastructure,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-03-08,07:49:03.764,LDC-GUEST,2a:5a:4c:ac:5f:2c,-80,2412,102.62423155029836,18.02760256653549,,,,,
Khonevilay,ec:c0:1b:98:c2:a0,"HUAWEI TECHNOLOGIES CO.,LTD",14.0,14.0,-91.0,-91.0,WPA2-Personal,CCMP,802.11ac,36,"6,9,12,18,24,36,48,54",,Infrastructure,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-03-08,07:49:15.059,Khonevilay,ec:c0:1b:98:c2:a0,-66,5180,102.62398464226295,18.02761489022317,,,,,
Mr.Lea-5G,0e:31:dc:27:a5:1c,Unknown,43.0,43.0,-78.0,-78.0,WPA2-Personal,CCMP,802.11ax,36,"6,9,12,18,24,36,48,54",,Infrastructure,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-03-08,07:49:21.109,Mr.Lea-5G,0e:31:dc:27:a5:1c,-82,5180,102.62398464226295,18.02761489022317,,,,,
